fname,class,score
1002_0.jpg,1,0.832504272
1002_10.jpg,1,0.77758652
1002_100.jpg,1,0.646639168
1002_110.jpg,1,0.562132955
1002_120.jpg,1,0.574440718
1002_130.jpg,1,0.600395799
1002_140.jpg,1,0.494841754
1002_150.jpg,0,0.495132625
1002_160.jpg,0,0.498506367
1002_20.jpg,1,0.662838221
1002_30.jpg,1,0.692150474
1002_40.jpg,1,0.655298471
1002_50.jpg,1,0.701410294
1002_60.jpg,1,0.718396485
1002_70.jpg,1,0.641932368
1002_80.jpg,1,0.664990664
1002_90.jpg,1,0.697928429
1003_0.jpg,0,0.846149623
1003_10.jpg,0,0.846978307
1003_100.jpg,0,0.817527711
1003_110.jpg,0,0.813518107
1003_120.jpg,0,0.823574603
1003_130.jpg,0,0.895536721
1003_140.jpg,0,0.819666505
1003_20.jpg,0,0.779744983
1003_30.jpg,0,0.764160454
1003_40.jpg,0,0.853596807
1003_50.jpg,0,0.838894248
1003_60.jpg,0,0.783968985
1003_70.jpg,0,0.867135465
1003_80.jpg,0,0.846511483
1003_90.jpg,0,0.902400255
1004_0.jpg,0,0.691893101
1004_10.jpg,0,0.898989558
1004_100.jpg,0,0.956553102
1004_110.jpg,0,0.908187568
1004_120.jpg,0,0.969038308
1004_130.jpg,0,0.912252128
1004_140.jpg,0,0.800768316
1004_20.jpg,0,0.920309484
1004_30.jpg,0,0.73141551
1004_40.jpg,0,0.56678611
1004_50.jpg,0,0.777915597
1004_60.jpg,0,0.92161876
1004_70.jpg,0,0.948370695
1004_80.jpg,0,0.969663322
1004_90.jpg,0,0.972048461
1007_0.jpg,1,0.944795609
1007_10.jpg,1,0.937944591
1007_100.jpg,1,0.939415991
1007_110.jpg,1,0.948085546
1007_120.jpg,1,0.938377321
1007_130.jpg,1,0.898599923
1007_140.jpg,1,0.911246777
1007_20.jpg,1,0.960526228
1007_30.jpg,1,0.888297558
1007_40.jpg,1,0.922177613
1007_50.jpg,1,0.961963356
1007_60.jpg,1,0.93896091
1007_70.jpg,1,0.930128574
1007_80.jpg,1,0.922787607
1007_90.jpg,1,0.904912531
1008_0.jpg,1,0.716089785
1008_10.jpg,1,0.808036327
1008_100.jpg,1,0.77166599
1008_110.jpg,1,0.790235639
1008_120.jpg,1,0.76035291
1008_130.jpg,1,0.789129555
1008_140.jpg,1,0.741939068
1008_150.jpg,1,0.76222527
1008_160.jpg,1,0.779139161
1008_20.jpg,1,0.833865941
1008_30.jpg,1,0.774891734
1008_40.jpg,1,0.821904898
1008_50.jpg,1,0.815028727
1008_60.jpg,1,0.838307917
1008_70.jpg,1,0.837507486
1008_80.jpg,1,0.835044563
1008_90.jpg,1,0.815714955
1012_0.jpg,0,0.784443557
1012_10.jpg,0,0.584565938
1012_100.jpg,0,0.656162262
1012_110.jpg,0,0.693909109
1012_120.jpg,0,0.679857612
1012_130.jpg,0,0.561917603
1012_140.jpg,1,0.686287224
1012_150.jpg,1,0.695299864
1012_20.jpg,0,0.80295676
1012_30.jpg,1,0.633725524
1012_40.jpg,1,0.609817743
1012_50.jpg,0,0.562259138
1012_60.jpg,0,0.502251089
1012_70.jpg,1,0.573457599
1012_80.jpg,1,0.505602062
1012_90.jpg,0,0.728813887
1014_0.jpg,1,0.729952931
1014_10.jpg,0,0.741832316
1014_100.jpg,0,0.907602608
1014_110.jpg,0,0.890925586
1014_120.jpg,0,0.906411886
1014_130.jpg,0,0.897661984
1014_140.jpg,0,0.891302824
1014_20.jpg,1,0.554176033
1014_30.jpg,0,0.816195965
1014_40.jpg,0,0.919192255
1014_50.jpg,0,0.925779879
1014_60.jpg,0,0.866688907
1014_70.jpg,0,0.917422533
1014_80.jpg,0,0.773360014
1014_90.jpg,0,0.740943253
1015_0.jpg,0,0.499495894
1015_10.jpg,1,0.63251406
1015_100.jpg,1,0.545237124
1015_110.jpg,1,0.777233541
